Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,35.00000,22.68744,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,30.00000,22.39533,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,25.00000,18.69523,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,20.00000,15.09250,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,15.00000,12.75560,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,10.00000,12.17137,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,5.00000,6.71860,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,1.00000,4.18695,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,45.00000,35.45792,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,40.00000,34.40594,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,35.00000,33.35396,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,30.00000,31.74505,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,25.00000,27.59901,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,20.00000,23.01980,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,15.00000,17.57426,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,10.00000,12.06683,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,5.00000,12.62376,
mnist2-deskewed,dl-mean,2000.00000,784.00000,4.40851,384.00000,1.00000,11.32426,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,45.00000,50.66298,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,40.00000,47.40331,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,35.00000,45.02762,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,30.00000,42.20994,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,25.00000,39.55801,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,20.00000,37.12707,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,15.00000,33.92265,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,10.00000,26.18785,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,5.00000,21.43646,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,1.00000,19.39227,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,45.00000,48.53510,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,40.00000,45.77114,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,35.00000,42.78607,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,30.00000,41.12769,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,25.00000,39.24820,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,20.00000,36.09729,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,15.00000,32.66998,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,10.00000,23.10669,
