Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,40.00000,11.58715,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,45.00000,12.36611,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,1.00000,9.90099,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,5.00000,9.28218,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,10.00000,10.39604,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,15.00000,11.94307,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,20.00000,13.67574,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,25.00000,16.02723,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,30.00000,17.88366,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,35.00000,19.61634,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,40.00000,21.65842,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,384.00000,45.00000,22.71040,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,1.00000,12.92818,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,5.00000,13.31492,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,10.00000,17.79006,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,15.00000,22.15470,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,20.00000,24.97238,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,25.00000,27.84530,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,30.00000,30.05525,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,35.00000,31.10497,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,40.00000,31.76796,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,190.00000,45.00000,32.87293,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,1.00000,12.93532,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,5.00000,13.37756,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,10.00000,17.79989,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,15.00000,22.22222,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,20.00000,25.15202,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,25.00000,27.97125,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,30.00000,30.18242,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,35.00000,31.23273,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,40.00000,32.06191,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,191.00000,45.00000,32.94638,
